STT,Từ Tiếng Anh,Số lần,Số file,Gợi ý Tiếng Việt
109,first,252,109,đầu tiên
110,trade,252,30,thương mại/giao dịch
111,Hokkaido,252,46,Hokkaido — GIỮ
112,lead,251,116,dẫn đầu
113,defer,249,46,hoãn/trì hoãn
114,conversation,246,95,cuộc hội thoại
115,test,244,124,kiểm tra/bài kiểm tra
116,Kyoto,242,50,Kyoto — GIỮ
117,code,240,110,mã/code
118,dokkai,240,12,dokkai
119,anchor,239,50,neo/điểm tựa
120,draft,238,91,nháp/bản thảo
121,intro,238,64,giới thiệu
122,Yamamoto,237,70,Yamamoto — GIỮ
123,app,237,93,ứng dụng
124,relationship,237,65,mối quan hệ
125,moment,236,61,thời điểm
126,body,236,76,phần thân/nội dung
127,Putra,236,50,Putra — GIỮ
128,plan,234,107,kế hoạch
129,Decision,234,59,Quyết định
130,scene,233,74,cảnh
131,self,233,85,bản thân
132,demo,233,60,demo/trình diễn
133,away,233,35,đi vắng/xa
134,khung,232,71,khung
135,video,231,93,video
136,cost,230,62,chi phí/giá
137,Self,229,79,Bản thân
138,link,228,74,liên kết
139,Kimura,228,35,Kimura — GIỮ
140,audience,227,64,khán giả/người nghe
141,bad_example,227,227,ví dụ xấu
142,tech,226,84,kỹ thuật/công nghệ
143,CRITICAL,226,84,QUAN TRỌNG
144,Template,226,100,Mẫu
145,Kansai,226,67,Kansai — GIỮ
146,uncertain,226,165,không chắc chắn
147,Thanh,224,41,Thanh — GIỮ
148,nghi,223,108,nghi
149,Day,223,40,Ngày
150,step,223,73,bước
151,bridge,222,75,cầu
152,internal,220,94,nội bộ
153,retro,220,23,retro/quay lại
154,zun_inner,220,11,zun_inner
155,onsen,217,21,onsen/suối nước nóng
156,full,215,112,đầy/toàn bộ
157,next,215,73,tiếp theo
158,pre,213,84,trước
159,sung,212,106,sung
160,ren,212,12,ren
161,Hiroshima,211,35,Hiroshima — GIỮ
162,item,210,65,mục
163,API,209,75,API — GIỮ
164,dialogue,208,104,đối thoại
165,budget,208,69,ngân sách
166,PDF,207,60,PDF — GIỮ
167,lan,207,56,lan
168,commit,207,57,commit
169,khoa,206,65,khoa
170,cty,204,81,công ty
171,Nagoya,202,66,Nagoya — GIỮ
172,audit,201,66,kiểm toán
173,family,200,71,gia đình
174,for,200,84,cho/vì
175,phrase,200,66,cụm từ
176,JST,200,31,JST — GIỮ
177,sempai,199,61,sempai/tiền bối
178,Putri,199,20,Putri — GIỮ
179,Junior,197,63,Cấp thấp
180,checklist,197,88,danh sách kiểm tra
181,Loan,197,48,Loan — GIỮ
182,ISO,197,26,ISO — GIỮ
183,Satou,196,33,Satou — GIỮ
184,bow,195,34,cúi chào
185,Casual,195,29,Bình thường
186,off,194,88,tắt/off
187,thread,192,49,luồng
188,Tech,191,93,Công nghệ
189,tanaka_pmo,191,43,tanaka_pmo
190,copy,189,93,sao chép
191,Stage,188,63,Giai đoạn
192,speech,187,51,bài phát biểu
193,tier,187,50,tầng/lớp
194,option,187,70,tùy chọn
195,Series,186,32,Loạt/Chuỗi
196,Best,185,52,Tốt nhất
197,Okinawa,184,26,Okinawa — GIỮ
198,walk,183,36,bước đi
199,Bridge,182,50,Cầu
200,dialect,182,22,phương ngôn
201,MAJOR,181,71,CHÍNH YÉU
202,good,181,72,tốt
203,English,181,72,Tiếng Anh
204,case,180,74,trường hợp
205,xanh,179,56,xanh
206,Keigo,179,24,Kính ngữ
207,Teams,178,67,Teams (ứng dụng) — GIỮ
208,Checklist,178,68,Danh sách kiểm tra
209,Cast,177,82,Dàn diễn viên
210,consistency,177,55,sự nhất quán
211,BrSE,176,26,BrSE — GIỮ
212,call,176,75,gọi/cuộc gọi
213,back,176,67,quay lại
214,EOD,176,18,EOD (End of Day) — GIỮ
215,depth,174,56,độ sâu
216,tai,174,52,tai
217,Zoom,174,75,Zoom (ứng dụng) — GIỮ
218,Bonenkai,174,24,Bonenkai (tiệc năm cuối) — GIỮ
219,LOI,174,14,LOI — GIỮ
220,Toyota,173,62,Toyota — GIỮ
221,timeline,173,96,dòng thời gian
222,escalation,173,42,nâng cấp/leo thang
223,offline,172,52,ngoại tuyến
224,rau,172,34,rau
225,miso,172,43,miso
226,CRM,171,45,CRM — GIỮ
227,contract,170,49,hợp đồng
228,round,170,54,vòng
229,bia,170,44,bia
230,fixes,169,59,sửa chữa
231,visa,169,68,visa
232,practice,167,69,thực hành
233,Cybozu,167,39,Cybozu — GIỮ
234,Kana,166,165,Kana — GIỮ
235,Why,166,37,Tại sao
236,trust,166,65,tin tưởng
237,client,165,54,khách hàng
238,Next,165,55,Tiếp theo
239,buffer,165,48,vùng đệm
240,thang,164,50,thang
241,nakamura_cfo,164,49,nakamura_cfo
242,production,164,74,sản xuất
243,bank,164,43,ngân hàng
244,KAIZEN,164,12,KAIZEN (cải tiến liên tục) — GIỮ
245,thanh,162,74,thanh
246,cung,162,79,cung
247,FSSC,162,8,FSSC — GIỮ
248,Sekininsha,162,32,Sekininsha (người chịu trách nhiệm) — GIỮ
249,top,161,71,đầu/hàng đầu
250,prep,161,88,chuẩn bị
251,ringi,161,36,ringi
252,cam,160,74,cam
253,kickoff,159,60,khởi động
254,Better,157,17,Tốt hơn
255,event,156,46,sự kiện
256,sake,156,39,rượu sake
257,Hiroshi,156,39,Hiroshi — GIỮ
258,rule_01,155,56,rule_01
259,Tien,155,20,Tien — GIỮ
260,Anri,154,36,Anri — GIỮ
261,lobby,154,36,hành lang
262,Review,152,121,Đánh giá
263,target,152,60,mục tiêu
264,ngang,152,66,ngang
265,you,152,65,bạn
266,EJU,152,23,EJU — GIỮ
267,Phat,152,23,Phat — GIỮ
268,Recap,151,42,Tóm tắt lại
269,trai,150,45,trai
270,mentor,150,75,cố vấn
271,Top,149,80,Đầu tiên
272,Kondo,149,26,Kondo — GIỮ
273,setup,148,79,thiết lập
274,Setup,148,63,Thiết lập
275,Sat,148,14,Sat
276,run,147,46,chạy
277,visit,146,69,thăm/viếng
278,decision,146,71,quyết định
279,paste,146,79,dán
280,ZOPA,146,16,ZOPA — GIỮ
281,Verdict,145,87,Kết luận
282,recap,145,34,tóm tắt
283,pass,144,67,vượt qua
284,dashboard,144,48,bảng điều khiển
285,memory,144,45,bộ nhớ/ký ức
286,Japanese,144,79,Nhật Bản
287,technical,144,65,kỹ thuật
288,golf,144,16,golf
289,tour,143,65,du lịch
290,taxi,143,51,taxi
291,HCM,143,29,TP.HCM — GIỮ
292,fact,143,48,sự thật
293,message,142,62,tin nhắn
294,Pre,142,75,Trước
295,camera,142,28,máy ảnh
296,deck,141,50,bộ bài/slide
297,yuukyuu,141,7,yuukyuu
298,release,140,64,phát hành
299,user,139,62,người dùng
300,critical,139,55,quan trọng
301,izakaya,139,57,izakaya
302,Sasaki,139,22,Sasaki — GIỮ
303,schedule,138,63,lịch trình
304,com,138,39,com
305,Hakata,138,29,Hakata — GIỮ
306,culture,137,75,văn hóa
307,reference,136,64,tham chiếu
308,rule_16,135,47,rule_16
309,rule_13,135,60,rule_13
310,Deadline,134,45,Hạn chót
311,Goal,134,30,Mục tiêu
312,office,133,56,văn phòng
313,dev,132,59,phát triển
314,offer,132,57,đề nghị/cung cấp
315,AWS,132,37,AWS — GIỮ
316,Lab,132,31,Phòng thí nghiệm
317,quote,132,46,trích dẫn/báo giá
318,update,131,74,cập nhật
319,rule_19,131,50,rule_19
320,cheerful,131,42,vui vẻ
321,report,130,79,báo cáo
322,daily,130,46,hàng ngày
323,rule_09,130,57,rule_09
324,chat,129,54,trò chuyện
325,domain,129,44,miền/lĩnh vực
326,rule_06,129,46,rule_06
327,Romaji,129,49,Romaji (la mã hóa Nhật) — GIỮ
328,nuance,129,34,sắc thái
329,show,129,67,hiển thị
330,box,128,66,hộp
331,output,127,49,đầu ra
332,log,127,52,nhật ký
333,ramen,127,28,ramen
334,intern,126,54,thực tập sinh
335,rule_02,126,52,rule_02
336,rule_07,126,43,rule_07
337,rule_18,126,53,rule_18
338,placeholder,126,38,chỗ dành sẵn
339,open,125,52,mở
340,apply,125,67,áp dụng
341,only,125,63,chỉ
342,pin,125,30,ghim
343,booth,125,12,quầy
344,table,124,56,bảng
345,omiyage,124,26,omiyage (quà lưu niệm) — GIỮ
346,rule_11,124,51,rule_11
347,rule_08,124,46,rule_08
348,Law,124,8,Luật
349,yamamoto_kansai,124,21,yamamoto_kansai
350,Online,123,49,Trực tuyến
351,price,123,30,giá cả
352,BATNA,123,17,BATNA — GIỮ
353,Year,122,37,Năm
354,rule_03,122,49,rule_03
355,rule_25,122,56,rule_25
356,rule_28,122,53,rule_28
357,rule_30,122,46,rule_30
358,voice,121,56,giọng nói
359,miss,121,40,nhớ/thất bại
360,rule_04,121,43,rule_04
361,rule_24,121,53,rule_24
362,Lin,121,29,Lin — GIỮ
363,Andi,121,29,Andi — GIỮ
364,native,120,48,bản địa/người bản xứ
365,Vai,120,71,Vai
366,Google,120,59,Google — GIỮ
367,rule_22,120,47,rule_22
368,brief,120,41,tóm tắt
369,Tokutei,120,21,Tokutei (cụ thể) — GIỮ
370,over,119,45,qua/trên
371,rule_26,119,50,rule_26
372,Hamada,119,25,Hamada — GIỮ
373,Wei,119,28,Wei — GIỮ
374,rule_05,118,40,rule_05
375,Ren,118,20,Ren — GIỮ
376,concession,118,21,nhượng bộ
377,rule_10,117,43,rule_10
378,Japan,117,59,Nhật Bản
379,card,117,38,thẻ
380,rule_17,117,54,rule_17
381,rule_21,117,47,rule_21
382,stage,117,26,sân khấu/giai đoạn
383,presenter,117,27,người trình bày
384,push,116,48,đẩy
385,realistic,116,67,thực tế
386,tuy,116,47,tuy
387,Use,116,14,Sử dụng
388,Wavenet,116,8,Wavenet — GIỮ
389,work,115,68,công việc
390,fail,115,52,thất bại
391,rule_27,115,41,rule_27
392,rule_32,115,41,rule_32
