STT,Từ Romaji,Nghĩa Nhật,Số lần,Số file,Trạng thái
95,daiji,quan trọng,1,1,GIỮ NGUYÊN
96,Mou,đã/nữa,1,1,GIỮ NGUYÊN
97,shougatsu,tháng giêng,1,1,GIỮ NGUYÊN
98,shika,chỉ/không gì khác,1,1,GIỮ NGUYÊN
99,Shika,chỉ/không gì khác,1,1,GIỮ NGUYÊN
100,made,đến,1,1,GIỮ NGUYÊN
101,kaku,viết,1,1,GIỮ NGUYÊN
102,hanasu,nói,1,1,GIỮ NGUYÊN
103,mata,lại/nữa,1,1,GIỮ NGUYÊN
104,oru,ở (chính thức),1,1,GIỮ NGUYÊN
105,ichi,một,1,1,GIỮ NGUYÊN
106,bakari,chỉ,1,1,GIỮ NGUYÊN
107,seikaku,tính cách,1,1,GIỮ NGUYÊN
108,Are,cái/người kia,1,1,GIỮ NGUYÊN
109,Akatsuki,bình minh,1,1,GIỮ NGUYÊN
110,naka,bên trong,1,1,GIỮ NGUYÊN
111,Neko,mèo,1,1,GIỮ NGUYÊN
112,Yoru,đêm,1,1,GIỮ NGUYÊN
113,Masu,kết thúc động từ (lịch sự),1,1,GIỮ NGUYÊN
114,San,anh/chị/em,1,1,GIỮ NGUYÊN
115,nagoya,Nagoya,1,1,GIỮ NGUYÊN
