STT,Từ Tiếng Anh,Số lần,Số file,Nguồn,Gợi ý tiếng Việt
49,tham,970,255,json/md,(từ Việt)
50,Trong,947,276,json/md,Trong (nhân vật/từ Việt)
51,doanh,923,160,json/md,(từ Việt)
52,kinh,922,193,json/md,(từ Việt)
53,trung,920,258,json/md,(từ Việt)
54,danh,888,225,json/md,(từ Việt)
55,xong,879,361,json/md,(từ Việt)
56,review,858,219,json/md,đánh giá/xem xét
57,quy,847,215,json/md,(từ Việt)
58,ghi,838,284,json/md,(từ Việt)
59,Osaka,825,190,json/md,Ôsaka (thành phố)
60,Sau,813,333,json/md,(chưa gợi ý)
61,quen,806,185,json/md,(từ Việt)
62,team,805,188,json/md,đội/nhóm
63,Sonkeigo,804,19,json/md,Kính ngữ tôn trọng
64,single,771,52,json/md,đơn/lẻ
65,CTO,768,181,json/md,Giám đốc Công nghệ
66,vui,764,190,json/md,(từ Việt)
67,thi,748,207,json/md,(từ Việt)
68,email,743,205,json/md,thư điện tử
69,Ghi,740,295,json/md,Ghi (từ Việt)
70,CFO,717,140,json/md,Giám đốc Tài chính
71,Xin,708,206,json/md,Xin (từ Việt)
72,chi,702,260,json/md,(từ Việt)
73,dung,697,237,json/md,(từ Việt)
74,tra,694,223,json/md,(từ Việt)
75,mang,692,222,json/md,(từ Việt)
76,Yamada,678,112,json/md,Yamada (nhân vật)
77,giao,669,224,json/md,(từ Việt)
78,chia,655,238,json/md,(từ Việt)
79,tinh,647,155,json/md,(từ Việt)
80,Nam,618,174,json/md,Nam (nhân vật)
81,warm,599,264,json/md,ấm/ấm áp
82,deadline,597,148,json/md,hạn chót
83,check,591,216,json/md,kiểm tra/xác nhận
84,mua,591,106,json/md,(từ Việt)
85,line,583,156,json/md,dòng/hàng
86,nhanh,574,228,json/md,(từ Việt)
87,thu,573,149,json/md,(từ Việt)
88,suy,561,145,json/md,(từ Việt)
89,san,552,132,json/md,(từ Việt)
90,chung,544,213,json/md,(từ Việt)
91,lai,536,120,json/md,(từ Việt)
92,Hana,532,73,json/md,Hana (nhân vật)
93,meeting,532,141,json/md,cuộc họp
94,mong,525,195,json/md,(từ Việt)
95,matsumoto,525,137,json/md,(chưa gợi ý)
96,business,515,206,json/md,kinh doanh
97,Uchi,509,20,json/md,Trong/Nội bộ
98,Soto,491,20,json/md,Ngoài/Bên ngoài
99,chon_dap_an,486,15,json/md,chọn đáp án
100,Yumi,479,90,json/md,(chưa gợi ý)
101,slide,476,99,json/md,(chưa gợi ý)
102,neutral,476,242,json/md,(chưa gợi ý)
103,Danh,474,66,json/md,(chưa gợi ý)
104,host,473,85,json/md,(chưa gợi ý)
105,Hai,472,204,json/md,(chưa gợi ý)
106,BJT,471,130,json/md,(chưa gợi ý)
107,duy,470,154,json/md,(chưa gợi ý)
108,vocab,464,115,json/md,(chưa gợi ý)
109,junior,462,116,json/md,(chưa gợi ý)
110,Theo,462,138,json/md,(chưa gợi ý)
111,bay,450,115,json/md,(chưa gợi ý)
112,Trung,446,110,json/md,(chưa gợi ý)
113,Scenario,445,64,json/md,(chưa gợi ý)
114,Mail,441,81,json/md,(chưa gợi ý)
115,TTS,439,110,json/md,(chưa gợi ý)
116,online,435,103,json/md,(chưa gợi ý)
117,female,426,118,json/md,(chưa gợi ý)
118,bao,423,217,json/md,(chưa gợi ý)
119,scope,423,122,json/md,(chưa gợi ý)
120,share,422,139,json/md,(chưa gợi ý)
121,grammar,420,41,json/md,(chưa gợi ý)
122,Tony,416,95,json/md,(chưa gợi ý)
123,vai,415,157,json/md,(chưa gợi ý)
124,Nakamura,402,122,json/md,(chưa gợi ý)
125,Senior,398,119,json/md,(chưa gợi ý)
126,hoa,397,87,json/md,(chưa gợi ý)
127,oogaki_sales,390,108,json/md,(chưa gợi ý)
128,MAJ,386,46,md,(chưa gợi ý)
129,string,384,13,json/md,(chưa gợi ý)
130,reply,381,106,json/md,(chưa gợi ý)
131,LINE,376,137,json/md,(chưa gợi ý)
132,pitch,373,100,json/md,(chưa gợi ý)
133,quay,372,137,json/md,(chưa gợi ý)
134,Email,370,112,json/md,(chưa gợi ý)
135,phong,367,120,json/md,(chưa gợi ý)
136,Cty,361,104,json/md,(chưa gợi ý)
137,style,361,84,json/md,(chưa gợi ý)
138,Inoue,358,62,json/md,(chưa gợi ý)
139,casual,357,158,json/md,(chưa gợi ý)
140,Quy,357,169,json/md,(chưa gợi ý)
141,Action,356,76,json/md,(chưa gợi ý)
142,Fix,353,62,md,(chưa gợi ý)
143,dinner,352,108,json/md,(chưa gợi ý)
144,agenda,342,88,json/md,(chưa gợi ý)
145,confirm,339,125,json/md,(chưa gợi ý)
146,signal,338,85,json/md,(chưa gợi ý)
147,trao,337,122,json/md,(chưa gợi ý)
148,HCMC,337,46,json/md,(chưa gợi ý)
149,action,337,97,json/md,(chưa gợi ý)
150,HACCP,337,43,json/md,(chưa gợi ý)
151,Minh,326,49,json/md,(chưa gợi ý)
152,Tuy,326,103,json/md,(chưa gợi ý)
153,Plan,325,61,json/md,(chưa gợi ý)
154,ben,321,94,json/md,(chưa gợi ý)
155,CRIT,320,55,md,(chưa gợi ý)
156,mai,320,131,json/md,(chưa gợi ý)
157,Notion,319,66,json/md,(chưa gợi ý)
158,Trang,319,70,json/md,(chưa gợi ý)
159,SSW1,319,60,json/md,(chưa gợi ý)
160,keigo,318,74,json/md,(chưa gợi ý)
161,good_example,316,284,json,(chưa gợi ý)
162,follow,315,105,json/md,(chưa gợi ý)
163,Chi,312,107,json/md,(chưa gợi ý)
164,Aiko,311,72,json/md,(chưa gợi ý)
165,Teineigo,308,10,json/md,(chưa gợi ý)
166,coi,303,120,json/md,(chưa gợi ý)
167,Sato,300,91,json/md,(chưa gợi ý)
168,ban,299,114,json/md,(chưa gợi ý)
169,khu,299,76,json/md,(chưa gợi ý)
170,Sakurai,297,67,json/md,(chưa gợi ý)
171,Kawakami,295,49,json/md,(chưa gợi ý)
172,Saitama,294,47,json/md,(chưa gợi ý)
173,minh,293,129,json/md,(chưa gợi ý)
174,linh,292,92,json/md,(chưa gợi ý)
175,phone,292,95,json/md,(chưa gợi ý)
176,song,291,119,json/md,(chưa gợi ý)
177,owner,284,52,json/md,(chưa gợi ý)
178,firm,284,169,json/md,(chưa gợi ý)
179,tranh,283,99,json/md,(chưa gợi ý)
180,template,280,105,json/md,(chưa gợi ý)
181,khen,280,99,json/md,(chưa gợi ý)
182,PMO,275,95,json/md,(chưa gợi ý)
183,SLA,274,51,json/md,(chưa gợi ý)
184,LyThuyet,273,11,json/md,(chưa gợi ý)
185,onsite,272,58,json/md,(chưa gợi ý)
186,json,271,92,json/md,(chưa gợi ý)
187,ngon,271,81,json/md,(chưa gợi ý)
188,khai,270,108,json/md,(chưa gợi ý)
189,channel,269,45,json/md,(chưa gợi ý)
190,fuon,265,71,json/md,(chưa gợi ý)
191,nguy,264,73,json/md,(chưa gợi ý)
192,ROI,259,51,json/md,(chưa gợi ý)
193,fix,258,113,json/md,(chưa gợi ý)
194,flow,257,97,json/md,(chưa gợi ý)
195,tuan_leader,256,74,json/md,(chưa gợi ý)
196,Yamato,254,46,json/md,(chưa gợi ý)
197,Hou,253,30,json/md,(chưa gợi ý)
198,first,252,109,json/md,(chưa gợi ý)
199,trade,252,30,json/md,(chưa gợi ý)
200,Hokkaido,252,46,json/md,(chưa gợi ý)
201,lead,251,116,json/md,(chưa gợi ý)
202,defer,249,46,json/md,(chưa gợi ý)
203,Cho,248,134,json/md,(chưa gợi ý)
204,conversation,246,95,json/md,(chưa gợi ý)
205,test,244,124,json/md,(chưa gợi ý)
206,Kyoto,242,50,json/md,(chưa gợi ý)
207,code,240,110,json/md,(chưa gợi ý)
208,dokkai,240,12,json,(chưa gợi ý)
209,anchor,239,50,json/md,(chưa gợi ý)
210,draft,238,91,json/md,(chưa gợi ý)
211,intro,238,64,json/md,(chưa gợi ý)
212,Yamamoto,237,70,json/md,(chưa gợi ý)
213,app,237,93,json/md,(chưa gợi ý)
214,relationship,237,65,json/md,(chưa gợi ý)
215,moment,236,61,json/md,(chưa gợi ý)
216,body,236,76,json/md,(chưa gợi ý)
217,Putra,236,50,json/md,(chưa gợi ý)
218,plan,234,107,json/md,(chưa gợi ý)
219,Decision,234,59,json/md,(chưa gợi ý)
220,scene,233,74,json/md,(chưa gợi ý)
221,self,233,85,json/md,(chưa gợi ý)
222,demo,233,60,json/md,(chưa gợi ý)
223,away,233,35,json/md,(chưa gợi ý)
224,khung,232,71,json/md,(chưa gợi ý)
225,video,231,93,json/md,(chưa gợi ý)
226,cost,230,62,json/md,(chưa gợi ý)
227,Self,229,79,json/md,(chưa gợi ý)
228,link,228,74,json/md,(chưa gợi ý)
229,Kimura,228,35,json/md,(chưa gợi ý)
230,audience,227,64,json/md,(chưa gợi ý)
231,bad_example,227,227,json,(chưa gợi ý)
232,tech,226,84,json/md,(chưa gợi ý)
233,CRITICAL,226,84,json/md,(chưa gợi ý)
234,Template,226,100,json/md,(chưa gợi ý)
235,Kansai,226,67,json/md,(chưa gợi ý)
236,uncertain,226,165,json,(chưa gợi ý)
237,Thanh,224,41,json/md,(chưa gợi ý)
238,nghi,223,108,json/md,(chưa gợi ý)
239,Day,223,40,json/md,(chưa gợi ý)
240,step,223,73,json/md,(chưa gợi ý)
241,bridge,222,75,json/md,(chưa gợi ý)
242,internal,220,94,json/md,(chưa gợi ý)
243,retro,220,23,json/md,(chưa gợi ý)
244,zun_inner,220,11,json/md,(chưa gợi ý)
245,onsen,217,21,json/md,(chưa gợi ý)
246,full,215,112,json/md,(chưa gợi ý)
247,next,215,73,json/md,(chưa gợi ý)
248,pre,213,84,json/md,(chưa gợi ý)
249,sung,212,106,json/md,(chưa gợi ý)
250,ren,212,12,json/md,(chưa gợi ý)
251,sou,211,11,json/md,(chưa gợi ý)
252,Hiroshima,211,35,json/md,(chưa gợi ý)
253,item,210,65,json/md,(chưa gợi ý)
254,API,209,75,json/md,(chưa gợi ý)
255,dialogue,208,104,json/md,(chưa gợi ý)
256,budget,208,69,json/md,(chưa gợi ý)
257,PDF,207,60,json/md,(chưa gợi ý)
258,lan,207,56,json/md,(chưa gợi ý)
259,commit,207,57,json/md,(chưa gợi ý)
260,khoa,206,65,json/md,(chưa gợi ý)
261,SAI,205,56,json/md,(chưa gợi ý)
262,cty,204,81,json/md,(chưa gợi ý)
263,Nagoya,202,66,json/md,(chưa gợi ý)
264,audit,201,66,json/md,(chưa gợi ý)
265,family,200,71,json/md,(chưa gợi ý)
266,for,200,84,json/md,(chưa gợi ý)
267,phrase,200,66,json/md,(chưa gợi ý)
268,JST,200,31,json/md,(chưa gợi ý)
269,sempai,199,61,json/md,(chưa gợi ý)
270,Putri,199,20,json/md,(chưa gợi ý)
271,Junior,197,63,json/md,(chưa gợi ý)
272,checklist,197,88,json/md,(chưa gợi ý)
273,Loan,197,48,json/md,(chưa gợi ý)
274,ISO,197,26,json/md,(chưa gợi ý)
275,Satou,196,33,json/md,(chưa gợi ý)
276,bow,195,34,json/md,(chưa gợi ý)
277,Casual,195,29,json/md,(chưa gợi ý)
278,off,194,88,json/md,(chưa gợi ý)
279,thread,192,49,json/md,(chưa gợi ý)
280,Tech,191,93,json/md,(chưa gợi ý)
281,uchi,191,18,json/md,(chưa gợi ý)
282,tanaka_pmo,191,43,json/md,(chưa gợi ý)
283,copy,189,93,json/md,(chưa gợi ý)
284,Stage,188,63,json/md,(chưa gợi ý)
285,quanh,187,75,json/md,(chưa gợi ý)
286,speech,187,51,json/md,(chưa gợi ý)
287,tier,187,50,json/md,(chưa gợi ý)
288,option,187,70,json/md,(chưa gợi ý)
289,Series,186,32,json/md,(chưa gợi ý)
290,Best,185,52,json/md,(chưa gợi ý)
291,Okinawa,184,26,json/md,(chưa gợi ý)
292,Tham,183,93,json/md,(chưa gợi ý)
293,walk,183,36,json/md,(chưa gợi ý)
294,Bridge,182,50,json/md,(chưa gợi ý)
295,dialect,182,22,json/md,(chưa gợi ý)
296,value,182,51,json/md,(chưa gợi ý)
297,MAJOR,181,71,json/md,(chưa gợi ý)
298,good,181,72,json/md,(chưa gợi ý)
299,English,181,72,json/md,(chưa gợi ý)
300,case,180,74,json/md,(chưa gợi ý)
301,xanh,179,56,json/md,(chưa gợi ý)
302,Keigo,179,24,json/md,(chưa gợi ý)
303,Teams,178,67,json/md,(chưa gợi ý)
304,Checklist,178,68,json/md,(chưa gợi ý)
305,Cast,177,82,json/md,(chưa gợi ý)
306,consistency,177,55,md,(chưa gợi ý)
307,BrSE,176,26,json/md,(chưa gợi ý)
308,call,176,75,json/md,(chưa gợi ý)
309,Kinh,176,63,json/md,(chưa gợi ý)
310,back,176,67,json/md,(chưa gợi ý)
311,EOD,176,18,json/md,(chưa gợi ý)
312,Sai,175,67,json/md,(chưa gợi ý)
313,depth,174,56,json/md,(chưa gợi ý)
314,tai,174,52,json/md,(chưa gợi ý)
315,Zoom,174,75,json/md,(chưa gợi ý)
316,Bonenkai,174,24,json/md,(chưa gợi ý)
317,LOI,174,14,json/md,(chưa gợi ý)
318,Toyota,173,62,json/md,(chưa gợi ý)
319,timeline,173,96,json/md,(chưa gợi ý)
320,escalation,173,42,json/md,(chưa gợi ý)
321,offline,172,52,json/md,(chưa gợi ý)
322,rau,172,34,json/md,(chưa gợi ý)
323,miso,172,43,json/md,(chưa gợi ý)
324,CRM,171,45,json/md,(chưa gợi ý)
325,contract,170,49,json/md,(chưa gợi ý)
326,round,170,54,json/md,(chưa gợi ý)
327,bia,170,44,json/md,(chưa gợi ý)
328,fixes,169,59,json/md,(chưa gợi ý)
329,visa,169,68,json/md,(chưa gợi ý)
330,practice,167,69,json/md,(chưa gợi ý)
331,Cybozu,167,39,json/md,(chưa gợi ý)
332,Kana,166,165,md,(chưa gợi ý)
333,Why,166,37,json/md,(chưa gợi ý)
334,trust,166,65,json/md,(chưa gợi ý)
335,client,165,54,json/md,(chưa gợi ý)
336,Next,165,55,json/md,(chưa gợi ý)
337,buffer,165,48,json/md,(chưa gợi ý)
338,thang,164,50,json/md,(chưa gợi ý)
339,nakamura_cfo,164,49,json/md,(chưa gợi ý)
340,production,164,74,json/md,(chưa gợi ý)
341,bank,164,43,json/md,(chưa gợi ý)
342,KAIZEN,164,12,json/md,(chưa gợi ý)
343,thanh,162,74,json/md,(chưa gợi ý)
344,cung,162,79,json/md,(chưa gợi ý)
345,FSSC,162,8,json/md,(chưa gợi ý)
346,Sekininsha,162,32,json/md,(chưa gợi ý)
347,top,161,71,json/md,(chưa gợi ý)
348,prep,161,88,json/md,(chưa gợi ý)
349,ringi,161,36,json/md,(chưa gợi ý)
350,cam,160,74,json/md,(chưa gợi ý)
351,kickoff,159,60,json/md,(chưa gợi ý)
352,xung,159,36,json/md,(chưa gợi ý)
353,Better,157,17,json/md,(chưa gợi ý)
354,event,156,46,json/md,(chưa gợi ý)
355,sake,156,39,json/md,(chưa gợi ý)
356,Hiroshi,156,39,json/md,(chưa gợi ý)
357,rule_01,155,56,json/md,(chưa gợi ý)
358,Tien,155,20,json/md,(chưa gợi ý)
359,Anri,154,36,json/md,(chưa gợi ý)
360,lobby,154,36,json/md,(chưa gợi ý)
361,Nghe,153,81,json/md,(chưa gợi ý)
362,the,152,65,json/md,(chưa gợi ý)
363,Review,152,121,json/md,(chưa gợi ý)
364,target,152,60,json/md,(chưa gợi ý)
365,ngang,152,66,json/md,(chưa gợi ý)
366,you,152,65,json/md,(chưa gợi ý)
367,EJU,152,23,json/md,(chưa gợi ý)
368,Phat,152,23,json/md,(chưa gợi ý)
369,Recap,151,42,json/md,(chưa gợi ý)
370,trai,150,45,json/md,(chưa gợi ý)
371,mentor,150,75,json/md,(chưa gợi ý)
372,sensei,150,64,json/md,(chưa gợi ý)
373,Top,149,80,json/md,(chưa gợi ý)
374,Kondo,149,26,json/md,(chưa gợi ý)
375,setup,148,79,json/md,(chưa gợi ý)
376,Setup,148,63,json/md,(chưa gợi ý)
377,Sat,148,14,json/md,(chưa gợi ý)
378,run,147,46,json/md,(chưa gợi ý)
379,Gia,146,79,json/md,(chưa gợi ý)
380,visit,146,69,json/md,(chưa gợi ý)
381,decision,146,71,json/md,(chưa gợi ý)
382,paste,146,79,json/md,(chưa gợi ý)
383,ZOPA,146,16,json/md,(chưa gợi ý)
384,Verdict,145,87,md,(chưa gợi ý)
385,recap,145,34,json/md,(chưa gợi ý)
386,pass,144,67,json/md,(chưa gợi ý)
387,dashboard,144,48,json/md,(chưa gợi ý)
388,memory,144,45,json/md,(chưa gợi ý)
389,Japanese,144,79,json/md,(chưa gợi ý)
390,technical,144,65,json/md,(chưa gợi ý)
391,golf,144,16,json/md,(chưa gợi ý)
392,tour,143,65,json/md,(chưa gợi ý)
393,taxi,143,51,json/md,(chưa gợi ý)
394,HCM,143,29,json/md,(chưa gợi ý)
395,fact,143,48,json/md,(chưa gợi ý)
396,Xem,142,85,json/md,(chưa gợi ý)
397,message,142,62,json/md,(chưa gợi ý)
398,Pre,142,75,json/md,(chưa gợi ý)
399,camera,142,28,json/md,(chưa gợi ý)
400,deck,141,50,json/md,(chưa gợi ý)
401,yuukyuu,141,7,json/md,(chưa gợi ý)
402,release,140,64,json/md,(chưa gợi ý)
403,user,139,62,json/md,(chưa gợi ý)
404,Con,139,63,json/md,(chưa gợi ý)
405,critical,139,55,json/md,(chưa gợi ý)
406,izakaya,139,57,json/md,(chưa gợi ý)
407,Sasaki,139,22,json/md,(chưa gợi ý)
408,schedule,138,63,json/md,(chưa gợi ý)
409,com,138,39,json/md,(chưa gợi ý)
410,Hakata,138,29,json/md,(chưa gợi ý)
411,culture,137,75,json/md,(chưa gợi ý)
412,reference,136,64,json/md,(chưa gợi ý)
413,rule_16,135,47,json/md,(chưa gợi ý)
414,rule_13,135,60,json/md,(chưa gợi ý)
415,Deadline,134,45,json/md,(chưa gợi ý)
416,Goal,134,30,json/md,(chưa gợi ý)
417,office,133,56,json/md,(chưa gợi ý)
418,Mong,133,91,json/md,(chưa gợi ý)
419,dev,132,59,json/md,(chưa gợi ý)
420,offer,132,57,json/md,(chưa gợi ý)
421,AWS,132,37,json/md,(chưa gợi ý)
422,Lab,132,31,json/md,(chưa gợi ý)
423,Mang,132,73,json/md,(chưa gợi ý)
424,quote,132,46,json/md,(chưa gợi ý)
425,update,131,74,json/md,(chưa gợi ý)
426,rule_19,131,50,json/md,(chưa gợi ý)
427,cheerful,131,42,json,(chưa gợi ý)
428,report,130,79,json/md,(chưa gợi ý)
429,daily,130,46,json/md,(chưa gợi ý)
430,rule_09,130,57,json/md,(chưa gợi ý)
431,chat,129,54,json/md,(chưa gợi ý)
432,domain,129,44,md,(chưa gợi ý)
433,rule_06,129,46,json/md,(chưa gợi ý)
434,Romaji,129,49,json/md,(chưa gợi ý)
435,nuance,129,34,json/md,(chưa gợi ý)
436,show,129,67,json/md,(chưa gợi ý)
437,box,128,66,json/md,(chưa gợi ý)
438,Quan,128,82,json/md,(chưa gợi ý)
439,output,127,49,json/md,(chưa gợi ý)
440,log,127,52,json/md,(chưa gợi ý)
441,ramen,127,28,json/md,(chưa gợi ý)
442,intern,126,54,json/md,(chưa gợi ý)
443,rule_02,126,52,json/md,(chưa gợi ý)
444,rule_07,126,43,json/md,(chưa gợi ý)
445,rule_18,126,53,json/md,(chưa gợi ý)
446,placeholder,126,38,json/md,(chưa gợi ý)
447,open,125,52,json/md,(chưa gợi ý)
448,apply,125,67,json/md,(chưa gợi ý)
449,only,125,63,json/md,(chưa gợi ý)
450,pin,125,30,json/md,(chưa gợi ý)
451,booth,125,12,json/md,(chưa gợi ý)
452,table,124,56,json/md,(chưa gợi ý)
453,omiyage,124,26,json/md,(chưa gợi ý)
454,rule_11,124,51,json/md,(chưa gợi ý)
455,rule_08,124,46,json/md,(chưa gợi ý)
456,Law,124,8,json/md,(chưa gợi ý)
457,yamamoto_kansai,124,21,json/md,(chưa gợi ý)
458,Online,123,49,json/md,(chưa gợi ý)
459,price,123,30,json/md,(chưa gợi ý)
460,BATNA,123,17,json/md,(chưa gợi ý)
461,Year,122,37,json/md,(chưa gợi ý)
462,rule_03,122,49,json/md,(chưa gợi ý)
463,rule_25,122,56,json/md,(chưa gợi ý)
464,rule_28,122,53,json/md,(chưa gợi ý)
465,rule_30,122,46,json/md,(chưa gợi ý)
466,voice,121,56,json/md,(chưa gợi ý)
467,miss,121,40,json/md,(chưa gợi ý)
468,rule_04,121,43,json/md,(chưa gợi ý)
469,rule_24,121,53,json/md,(chưa gợi ý)
470,Lin,121,29,json/md,(chưa gợi ý)
471,Andi,121,29,json/md,(chưa gợi ý)
472,native,120,48,json/md,(chưa gợi ý)
473,Vai,120,71,json/md,(chưa gợi ý)
474,Google,120,59,json/md,(chưa gợi ý)
475,rule_22,120,47,json/md,(chưa gợi ý)
476,brief,120,41,json/md,(chưa gợi ý)
477,Tokutei,120,21,json/md,(chưa gợi ý)
478,over,119,45,json/md,(chưa gợi ý)
479,rule_26,119,50,json/md,(chưa gợi ý)
480,Hamada,119,25,json/md,(chưa gợi ý)
481,Wei,119,28,json/md,(chưa gợi ý)
482,rule_05,118,40,json/md,(chưa gợi ý)
483,Ren,118,20,json/md,(chưa gợi ý)
484,concession,118,21,json/md,(chưa gợi ý)
485,rule_10,117,43,json/md,(chưa gợi ý)
486,Japan,117,59,json/md,(chưa gợi ý)
487,card,117,38,json/md,(chưa gợi ý)
488,rule_17,117,54,json/md,(chưa gợi ý)
489,rule_21,117,47,json/md,(chưa gợi ý)
490,stage,117,26,json/md,(chưa gợi ý)
491,presenter,117,27,json/md,(chưa gợi ý)
492,push,116,48,json/md,(chưa gợi ý)
493,realistic,116,67,json/md,(chưa gợi ý)
494,tuy,116,47,json/md,(chưa gợi ý)
495,Use,116,14,json/md,(chưa gợi ý)
496,Wavenet,116,8,json,(chưa gợi ý)
497,work,115,68,json/md,(chưa gợi ý)
498,fail,115,52,json/md,(chưa gợi ý)
499,rule_27,115,41,json/md,(chưa gợi ý)
500,rule_32,115,41,json/md,(chưa gợi ý)
501,CAD,115,35,json/md,(chưa gợi ý)
502,Good,115,23,json/md,(chưa gợi ý)
503,USB,115,22,json/md,(chưa gợi ý)
504,Sou,115,20,json/md,(chưa gợi ý)
505,rule_15,114,43,json/md,(chưa gợi ý)
506,Office,114,30,json/md,(chưa gợi ý)
507,MINOR,114,62,json/md,(chưa gợi ý)
508,food,114,53,json/md,(chưa gợi ý)
509,rule_12,114,42,json/md,(chưa gợi ý)
510,rule_33,114,42,json/md,(chưa gợi ý)
511,Fukuoka,114,41,json/md,(chưa gợi ý)
512,close,113,51,json/md,(chưa gợi ý)
513,rule_14,113,47,json/md,(chưa gợi ý)
514,counter,113,52,json/md,(chưa gợi ý)
515,apologetic,113,89,json/md,(chưa gợi ý)
516,react,113,41,json/md,(chưa gợi ý)
517,Outlook,113,29,json/md,(chưa gợi ý)
518,sato_kyushu,113,19,json/md,(chưa gợi ý)
519,linguist,112,55,json/md,(chưa gợi ý)
520,laptop,112,40,json/md,(chưa gợi ý)
521,Vui,112,68,json/md,(chưa gợi ý)
522,robot,112,16,json/md,(chưa gợi ý)
523,rule_23,112,49,json/md,(chưa gợi ý)
524,Lawson,112,33,json/md,(chưa gợi ý)
525,Slide,112,39,json/md,(chưa gợi ý)
526,deal,112,43,json/md,(chưa gợi ý)
527,books,111,27,json/md,(chưa gợi ý)
528,risk,111,59,json/md,(chưa gợi ý)
529,Aichi,111,51,json/md,(chưa gợi ý)
530,bug,111,45,json/md,(chưa gợi ý)
531,focus,111,40,json/md,(chưa gợi ý)
532,rule_20,111,43,json/md,(chưa gợi ý)
533,CTA,111,23,json/md,(chưa gợi ý)
534,indemnity,111,16,json/md,(chưa gợi ý)
535,Register,111,16,json/md,(chưa gợi ý)
536,completed,111,14,json,(chưa gợi ý)
537,Takahashi,110,31,json/md,(chưa gợi ý)
538,Thay,110,66,json/md,(chưa gợi ý)
539,Output,110,39,json/md,(chưa gợi ý)
540,closing,110,65,json/md,(chưa gợi ý)
541,post,110,54,json/md,(chưa gợi ý)
542,Step,109,22,json/md,(chưa gợi ý)
543,form,109,57,json/md,(chưa gợi ý)
544,lao,109,29,json/md,(chưa gợi ý)
545,Mua,109,44,json/md,(chưa gợi ý)
546,Team,109,61,json/md,(chưa gợi ý)
547,Critical,108,58,json/md,(chưa gợi ý)
548,build,108,58,json/md,(chưa gợi ý)
549,cohort,108,61,json/md,(chưa gợi ý)
550,standard,108,74,json/md,(chưa gợi ý)
551,Pitch,108,47,json/md,(chưa gợi ý)
552,DevOps,108,51,json/md,(chưa gợi ý)
553,kohai,108,40,json/md,(chưa gợi ý)
554,soto,108,15,json/md,(chưa gợi ý)
555,block,107,54,json/md,(chưa gợi ý)
556,sign,107,47,json/md,(chưa gợi ý)
557,mic,107,26,json/md,(chưa gợi ý)
558,nervous,107,61,json/md,(chưa gợi ý)
559,Insight,106,15,json/md,(chưa gợi ý)
560,What,106,32,json/md,(chưa gợi ý)
561,Audience,106,33,json/md,(chưa gợi ý)
562,Ngay,105,53,json/md,(chưa gợi ý)
563,bento,105,29,json/md,(chưa gợi ý)
564,Impact,105,23,json/md,(chưa gợi ý)
565,audio,104,42,json/md,(chưa gợi ý)
566,day,104,54,json/md,(chưa gợi ý)
567,III,103,54,md,(chưa gợi ý)
568,Khen,103,44,json/md,(chưa gợi ý)
